ID, Average Longitude, Average Latitude, Number of points
Cluster ID: 1, Longitude: -73.95436541984735, Latitude: 40.76591704580151, Number of points: 131
Cluster ID: 2, Longitude: -73.98354254347826, Latitude: 40.75569411956521, Number of points: 92
Cluster ID: 3, Longitude: -73.98765404411762, Latitude: 40.74994819117651, Number of points: 204
Cluster ID: 4, Longitude: -73.96178745985402, Latitude: 40.773825759124094, Number of points: 137
Cluster ID: 5, Longitude: -73.97036636666668, Latitude: 40.78394613333332, Number of points: 30
Cluster ID: 6, Longitude: -73.98827236363636, Latitude: 40.754008363636366, Number of points: 55
Cluster ID: 7, Longitude: -73.9911672724936, Latitude: 40.750096539845764, Number of points: 389
Cluster ID: 8, Longitude: -73.9944165609756, Latitude: 40.74555930081301, Number of points: 123
Cluster ID: 9, Longitude: -73.9582227, Latitude: 40.76877238, Number of points: 50
Cluster ID: 10, Longitude: -73.97664437008288, Latitude: 40.75474493944095, Number of points: 1932
Cluster ID: 11, Longitude: -73.98057404347824, Latitude: 40.74806252173913, Number of points: 23
Cluster ID: 12, Longitude: -73.98877399999999, Latitude: 40.7777115, Number of points: 6
Cluster ID: 13, Longitude: -74.0097556, Latitude: 40.712514199999994, Number of points: 10
Cluster ID: 14, Longitude: -73.94976023999999, Latitude: 40.77228076, Number of points: 25
Cluster ID: 15, Longitude: -73.97993444067801, Latitude: 40.760412644067785, Number of points: 236
Cluster ID: 16, Longitude: -73.96123729166666, Latitude: 40.760568375, Number of points: 24
Cluster ID: 17, Longitude: -73.9818639731183, Latitude: 40.773608537634395, Number of points: 186
Cluster ID: 18, Longitude: -73.96438019999998, Latitude: 40.776074400000006, Number of points: 5
Cluster ID: 19, Longitude: -73.98720771428569, Latitude: 40.74450938095238, Number of points: 21
Cluster ID: 20, Longitude: -73.97039284210528, Latitude: 40.788876052631586, Number of points: 38
Cluster ID: 21, Longitude: -73.97015970303711, Latitude: 40.7613846107987, Number of points: 889
Cluster ID: 22, Longitude: -73.99972506666667, Latitude: 40.7218786, Number of points: 15
Cluster ID: 23, Longitude: -73.95012284210524, Latitude: 40.784146473684224, Number of points: 19
Cluster ID: 24, Longitude: -73.98629569230769, Latitude: 40.74587169230769, Number of points: 13
