ID, Average Latitude, Average Longitude, Number of points
Cluster ID: 1, Latitude: 40.75474493944095, Longitude: -73.97664437008288, Number of points: 1932
Cluster ID: 2, Latitude: 40.7613846107987, Longitude: -73.97015970303711, Number of points: 889
Cluster ID: 3, Latitude: 40.750096539845764, Longitude: -73.9911672724936, Number of points: 389
Cluster ID: 4, Latitude: 40.76646975077879, Longitude: -73.98158522429901, Number of points: 321
Cluster ID: 5, Latitude: 40.75170358403361, Longitude: -73.99372898739495, Number of points: 238
Cluster ID: 6, Latitude: 40.760412644067785, Longitude: -73.97993444067801, Number of points: 236
Cluster ID: 7, Latitude: 40.74994819117651, Longitude: -73.98765404411762, Number of points: 204
Cluster ID: 8, Latitude: 40.745664959183664, Longitude: -73.98441654591832, Number of points: 196
Cluster ID: 9, Latitude: 40.773608537634395, Longitude: -73.9818639731183, Number of points: 186
Cluster ID: 10, Latitude: 40.740328114130435, Longitude: -73.98617283152176, Number of points: 184
Cluster ID: 11, Latitude: 40.780456125748486, Longitude: -73.98135054491017, Number of points: 167
Cluster ID: 12, Latitude: 40.75622310884353, Longitude: -73.9902508367347, Number of points: 147
Cluster ID: 13, Latitude: 40.773825759124094, Longitude: -73.96178745985402, Number of points: 137
Cluster ID: 14, Latitude: 40.781175395522375, Longitude: -73.95638126865671, Number of points: 134
Cluster ID: 15, Latitude: 40.759551954545465, Longitude: -73.98517670454544, Number of points: 132
Cluster ID: 16, Latitude: 40.76591704580151, Longitude: -73.95436541984735, Number of points: 131
Cluster ID: 17, Latitude: 40.75647319999999, Longitude: -73.98599828, Number of points: 125
Cluster ID: 18, Latitude: 40.74555930081301, Longitude: -73.9944165609756, Number of points: 123
Cluster ID: 19, Latitude: 40.73878638655464, Longitude: -73.99144812605043, Number of points: 119
Cluster ID: 20, Latitude: 40.769533428571435, Longitude: -73.86316429411765, Number of points: 119
Cluster ID: 21, Latitude: 40.76253988000001, Longitude: -73.98248634999996, Number of points: 100
Cluster ID: 22, Latitude: 40.77463704081634, Longitude: -73.95909535714287, Number of points: 98
Cluster ID: 23, Latitude: 40.75569411956521, Longitude: -73.98354254347826, Number of points: 92
Cluster ID: 24, Latitude: 40.76402999999999, Longitude: -73.97679076744186, Number of points: 86
Cluster ID: 25, Latitude: 40.74539880722892, Longitude: -73.98246932530124, Number of points: 83
Cluster ID: 26, Latitude: 40.75644093670885, Longitude: -73.97204079746834, Number of points: 79
Cluster ID: 27, Latitude: 40.77308615384616, Longitude: -73.9644694102564, Number of points: 78
Cluster ID: 28, Latitude: 40.77016380769232, Longitude: -73.95129965384614, Number of points: 78
Cluster ID: 29, Latitude: 40.780096090909105, Longitude: -73.95933470129869, Number of points: 77
Cluster ID: 30, Latitude: 40.776204500000006, Longitude: -73.96220204054052, Number of points: 74
Cluster ID: 31, Latitude: 40.74757287837836, Longitude: -73.9850122162162, Number of points: 74
Cluster ID: 32, Latitude: 40.77006143661975, Longitude: -73.96444609859155, Number of points: 71
Cluster ID: 33, Latitude: 40.76396419999999, Longitude: -73.95491491428574, Number of points: 70
Cluster ID: 34, Latitude: 40.734608159420276, Longitude: -73.99877814492751, Number of points: 69
Cluster ID: 35, Latitude: 40.7419096567164, Longitude: -73.97476202985072, Number of points: 67
Cluster ID: 36, Latitude: 40.74002746875, Longitude: -73.994869515625, Number of points: 64
Cluster ID: 37, Latitude: 40.761748859375004, Longitude: -73.96626435937499, Number of points: 64
Cluster ID: 38, Latitude: 40.77967869354841, Longitude: -73.95553761290321, Number of points: 62
Cluster ID: 39, Latitude: 40.734887533333314, Longitude: -73.98970528333332, Number of points: 60
Cluster ID: 40, Latitude: 40.76933386206897, Longitude: -73.96092598275862, Number of points: 58
